City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
208,hobyo,5.3505,48.5268,27.760000000000048,68,100,3.35,SO,1684991612
209,mocimboa,-11.3167,40.35,24.189999999999998,78,45,3.26,MZ,1684991612
210,fortaleza,-3.7227,-38.5247,26.07000000000005,83,0,2.57,BR,1684991613
211,dickinson,29.4608,-95.0513,26.100000000000023,83,40,0.0,US,1684991613
212,bichura,50.5881,107.6022,8.740000000000009,44,97,4.99,RU,1684991613
213,kongolo,-5.3833,27.0,21.840000000000032,84,36,1.12,CD,1684991614
214,lihue,21.9789,-159.3672,25.58000000000004,78,75,7.2,US,1684991614
215,talcher,20.95,85.2167,42.23000000000002,18,15,7.13,IN,1684991614
216,sisimiut,66.9395,-53.6735,-1.5299999999999727,71,89,2.65,GL,1684991615
217,gdov,58.7406,27.8122,13.5,75,14,2.48,RU,1684991615
218,talcahuano,-36.7167,-73.1167,10.82000000000005,100,100,2.06,CL,1684991577
219,hadibu,12.65,54.0333,29.80000000000001,67,57,2.96,YE,1684991616
220,tyre,33.2733,35.1939,23.75,72,1,1.9,LB,1684991616
221,gaiman,-43.2897,-65.4929,10.370000000000005,45,18,9.5,AR,1684991617
222,cabo san lucas,22.8909,-109.9124,26.610000000000014,61,100,7.06,MX,1684991617
223,bikenibeu village,1.3673,173.1241,29.980000000000018,74,20,2.57,KI,1684991617
224,novyy turtkul',41.55,61.0167,27.950000000000045,14,5,4.75,UZ,1684991617
225,cranbrook,49.4999,-115.7688,11.910000000000025,71,75,4.12,CA,1684991618
226,salinopolis,-0.6136,-47.3561,25.150000000000034,91,95,4.15,BR,1684991618
227,recani,31.2846,-4.2688,18.58000000000004,42,6,4.11,MA,1684991618
228,raduzhnyy,62.0961,77.475,11.610000000000014,36,4,3.46,RU,1684991619
229,rodolfo sanchez taboada,31.7167,-116.5667,15.610000000000014,73,2,0.89,MX,1684991619
230,flin flon,54.7682,-101.865,14.57000000000005,69,83,3.61,CA,1684991556
231,huarmey,-10.0681,-78.1522,21.79000000000002,84,65,4.09,PE,1684991620
232,barrouallie,13.2333,-61.2667,25.629999999999995,83,39,3.54,VC,1684991620
233,korla,41.7597,86.1469,24.230000000000018,13,61,1.31,CN,1684991620
234,houston,29.7633,-95.3633,25.629999999999995,77,100,3.09,US,1684991007
235,nar'yan-mar,67.6713,53.087,18.890000000000043,61,98,4.79,RU,1684991621
236,el calafate,-50.3408,-72.2768,-0.5600000000000023,76,50,1.32,AR,1684991621
237,sofiyivka,48.0493,33.8746,19.100000000000023,76,97,2.61,UA,1684991421
238,elliot lake,46.3834,-82.6331,1.7200000000000273,61,0,2.35,CA,1684991622
239,geraldton,-28.7667,114.6,20.230000000000018,37,0,8.75,AU,1684991622
240,sullivan,36.5168,-82.5332,15.560000000000002,79,0,0.0,US,1684991622
241,nawalgarh,27.85,75.2667,32.53000000000003,44,41,4.55,IN,1684991623
242,vangaindrano,-23.35,47.6,19.120000000000005,86,82,2.36,MG,1684991623
243,howard springs,-12.497,131.047,29.950000000000045,25,16,1.55,AU,1684991624
244,kuraymah,18.55,31.85,34.48000000000002,22,0,4.01,SD,1684991624
245,san bernardo del viento,9.3533,-75.9524,27.08000000000004,84,100,3.72,CO,1684991625
246,agropoli,40.3469,14.9966,18.379999999999995,77,71,1.58,IT,1684991625
247,pathein,16.7833,94.7333,35.07000000000005,46,15,6.33,MM,1684991625
248,ar ruways,24.1103,52.7306,34.650000000000034,31,100,3.05,AE,1684991625
249,urumqi,43.801,87.6005,21.53000000000003,21,0,4.0,CN,1684991411
250,al mindak,20.1588,41.2834,21.950000000000045,37,0,1.3,SA,1684991626
251,la passe,45.5549,-0.8967,12.230000000000018,84,84,6.0,FR,1684991627
252,gamboma,-1.8764,15.8644,22.650000000000034,89,78,1.48,CG,1684991627
253,kokkola,63.8385,23.1307,9.090000000000032,81,0,2.57,FI,1684991627
254,kristiansund,63.1115,7.732,8.03000000000003,70,75,8.75,NO,1684991628
255,utrik,11.2278,169.8474,27.75,78,100,6.84,MH,1684991628
256,naze,28.3667,129.4833,22.120000000000005,66,50,4.52,JP,1684991628
257,buka,40.8108,69.1986,24.670000000000016,24,1,2.33,UZ,1684991628
258,newman,37.3138,-121.0208,18.340000000000032,62,1,4.02,US,1684991629
259,ocean city,39.2776,-74.5746,16.210000000000036,72,9,6.26,US,1684991629
260,tangalle,6.024,80.7911,32.09000000000003,61,19,5.74,LK,1684991629
261,pabrade,55.0,25.7833,16.25,59,70,1.4,LT,1684991630
262,cooper's town,26.8667,-77.5167,25.930000000000007,74,71,5.6,BS,1684991630
263,saipan,15.1355,145.701,25.360000000000014,100,100,8.05,MP,1684991569
264,champerico,14.3,-91.9167,28.450000000000045,76,82,1.49,GT,1684991631
265,hashtrud,37.4779,47.0508,18.850000000000023,47,80,0.65,IR,1684991631
266,quatre cocos,-20.2078,57.7625,27.27000000000004,73,21,2.25,MU,1684991632
267,kiunga,-6.1219,141.2906,23.83000000000004,98,100,0.7,PG,1684991632
268,sandnessjoen,66.0217,12.6316,5.2900000000000205,83,75,6.69,NO,1684991632
269,zamora,-4.0692,-78.9567,18.680000000000007,97,92,1.31,EC,1684991632
270,lorengau,-2.0226,147.2712,26.760000000000048,85,100,5.62,PG,1684991633
271,la'ie,21.6477,-157.9253,25.980000000000018,74,5,1.79,US,1684991633
272,porlamar,10.958,-63.8491,26.140000000000043,90,88,5.64,VE,1684991633
273,cockburn town,21.4612,-71.1419,27.30000000000001,79,50,5.34,TC,1684991634
274,jeddah,21.5169,39.2192,32.920000000000016,52,0,0.0,SA,1684991634
275,gisborne,-38.6533,178.0042,12.129999999999995,72,20,2.04,NZ,1684991634
276,lauro de freitas,-12.8944,-38.3272,27.010000000000048,78,40,4.63,BR,1684991514
277,bolnisi,41.4479,44.5384,19.77000000000004,53,83,0.53,GE,1684991635
278,zuya,45.0531,34.3154,16.110000000000014,86,97,0.58,UA,1684991635
279,ovruch,51.3246,28.8035,17.370000000000005,72,61,2.06,UA,1684991635
280,bismarck,46.8083,-100.7837,20.360000000000014,70,0,6.17,US,1684991533
281,kapuskasing,49.4169,-82.4331,0.05000000000001137,80,0,1.54,CA,1684991636
282,dicle,38.3751,40.0722,19.30000000000001,43,30,0.96,TR,1684991636
283,deqen,29.9618,90.7188,13.670000000000016,41,97,4.16,CN,1684991636
284,tari,12.4086,4.4914,29.960000000000036,54,99,4.0,NG,1684991636
285,freetown,8.484,-13.2299,25.420000000000016,91,100,2.39,SL,1684991636
286,chonchi,-42.6128,-73.8092,8.560000000000002,85,88,6.33,CL,1684991637
287,las heras,-46.5419,-68.9359,5.730000000000018,49,20,14.87,AR,1684991637
288,aykhal,66.0,111.5,1.2900000000000205,80,100,6.27,RU,1684991637
289,kone,-21.0595,164.8658,23.840000000000032,50,20,3.9,NC,1684991637
290,reynosa,26.0833,-98.2833,26.230000000000018,82,75,4.12,MX,1684991582
291,namie,37.4833,141.0,22.53000000000003,51,100,0.45,JP,1684991638
292,dokkum,53.3222,5.997,11.100000000000023,100,13,2.06,NL,1684991638
293,tucuma,-0.1833,-50.05,24.140000000000043,95,93,2.52,BR,1684991638
294,baiyin,36.5583,104.2081,18.060000000000002,18,100,2.62,CN,1684991639
295,port shepstone,-30.7414,30.455,18.170000000000016,50,53,4.45,ZA,1684991639
296,richards bay,-28.783,32.0377,17.610000000000014,87,7,5.27,ZA,1684991639
297,strezhevoy,60.7333,77.5889,13.470000000000027,34,19,3.62,RU,1684991639
298,morehead city,34.7229,-76.726,16.689999999999998,80,20,3.13,US,1684991639
299,big bend,-26.8167,31.9333,15.730000000000018,92,8,1.73,SZ,1684991640
300,aldinga beach,-35.2793,138.4604,15.800000000000011,80,100,9.86,AU,1684991497
301,allapalli,19.4167,80.0667,35.210000000000036,36,89,1.74,IN,1684991640
302,rongelap,11.1635,166.8941,27.80000000000001,78,94,6.8,MH,1684991640
303,kunhegyes,47.3667,20.6333,16.100000000000023,82,11,4.18,HU,1684991358
304,minas de marcona,-15.2119,-75.1103,14.510000000000048,88,56,4.6,PE,1684991641
305,flying fish cove,-10.4217,105.6791,26.82000000000005,83,100,6.17,CX,1684991641
306,kizhinga,51.8462,109.9097,11.189999999999998,26,96,6.3,RU,1684991641
307,vila franca do campo,37.7167,-25.4333,16.230000000000018,90,56,2.3,PT,1684991642
308,kill devil hills,36.0307,-75.676,14.990000000000009,92,100,5.14,US,1684991517
309,glace bay,46.1969,-59.957,4.6200000000000045,94,100,4.12,CA,1684991642
310,maumere,-8.6199,122.2111,29.120000000000005,67,41,2.66,ID,1684991643
311,ujae,8.9322,165.7642,27.900000000000034,77,100,6.58,MH,1684991643
312,lompoc,34.6391,-120.4579,14.080000000000041,88,100,3.09,US,1684991535
313,bulungu,-4.55,18.6,21.80000000000001,92,39,1.39,CD,1684991644
314,mugia,43.1041,-9.2179,13.840000000000032,84,60,7.77,ES,1684991645
315,mejit,10.2753,170.8646,27.57000000000005,78,100,6.93,MH,1684991645
316,rampur,28.8167,79.0333,32.76000000000005,38,65,3.26,IN,1684991645
317,kudahuvadhoo,2.6708,72.8944,28.730000000000018,73,98,3.54,MV,1684991646
318,pendleton,45.6721,-118.7886,16.78000000000003,51,0,3.6,US,1684991646
319,mutare,-18.9707,32.6709,14.120000000000005,93,6,0.77,ZW,1684991647
320,beau vallon,-20.4189,57.6953,27.340000000000032,74,23,2.46,MU,1684991647
321,bima,-8.4667,118.7167,30.75,60,7,3.1,ID,1684991647
322,holualoa,19.6228,-155.9522,24.910000000000025,79,40,2.57,US,1684991648
323,uglegorsk,49.0833,142.0333,15.730000000000018,60,55,4.22,RU,1684991648
324,ishigaki,24.3448,124.1572,25.620000000000005,77,39,3.06,JP,1684991648
325,sabang,5.8933,95.3214,28.950000000000045,76,65,7.51,ID,1684991648
326,bubaque,11.2833,-15.8333,27.410000000000025,69,91,5.47,GW,1684991649
327,al fulah,11.7329,28.3579,30.870000000000005,32,3,3.97,SD,1684991649
328,ad dilam,23.9915,47.1627,32.23000000000002,25,4,5.65,SA,1684991650
329,alice springs,-23.7,133.8833,25.75,12,0,3.09,AU,1684991650
330,dubinino,55.6192,89.0911,9.460000000000036,39,28,3.94,RU,1684991650
